127.0.0.1 - - [16/Jun/2015:19:31:46 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0009
127.0.0.1 - - [16/Jun/2015:19:31:46 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0024
127.0.0.1 - - [16/Jun/2015:19:31:46 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:31:46 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:31:46 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0010
127.0.0.1 - - [16/Jun/2015:19:31:46 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0011
127.0.0.1 - - [16/Jun/2015:19:31:46 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:32:37 +0300] "GET / HTTP/1.1" 404 502 0.0017
127.0.0.1 - - [16/Jun/2015:19:32:37 +0300] "GET /__sinatra__/404.png HTTP/1.1" 200 18893 0.0019
127.0.0.1 - - [16/Jun/2015:19:32:38 +0300] "GET / HTTP/1.1" 404 502 0.0007
127.0.0.1 - - [16/Jun/2015:19:32:38 +0300] "GET /__sinatra__/404.png HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [16/Jun/2015:19:32:38 +0300] "GET / HTTP/1.1" 404 502 0.0007
127.0.0.1 - - [16/Jun/2015:19:32:38 +0300] "GET /__sinatra__/404.png HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [16/Jun/2015:19:32:38 +0300] "GET / HTTP/1.1" 404 502 0.0008
127.0.0.1 - - [16/Jun/2015:19:32:39 +0300] "GET /__sinatra__/404.png HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [16/Jun/2015:19:32:50 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0032
127.0.0.1 - - [16/Jun/2015:19:32:51 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [16/Jun/2015:19:32:51 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:32:51 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:32:51 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0012
127.0.0.1 - - [16/Jun/2015:19:32:52 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:32:52 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [16/Jun/2015:19:35:38 +0300] "GET / HTTP/1.1" 200 38 0.0031
127.0.0.1 - - [16/Jun/2015:19:35:39 +0300] "GET / HTTP/1.1" 200 38 0.0012
127.0.0.1 - - [16/Jun/2015:19:35:39 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:35:39 +0300] "GET / HTTP/1.1" 200 38 0.0012
127.0.0.1 - - [16/Jun/2015:19:40:00 +0300] "GET / HTTP/1.1" 200 38 0.0035
127.0.0.1 - - [16/Jun/2015:19:40:01 +0300] "GET / HTTP/1.1" 200 38 0.0012
127.0.0.1 - - [16/Jun/2015:19:40:01 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:40:01 +0300] "GET / HTTP/1.1" 200 38 0.0011
127.0.0.1 - - [16/Jun/2015:19:42:01 +0300] "GET / HTTP/1.1" 200 38 0.0029
127.0.0.1 - - [16/Jun/2015:19:42:02 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:42:03 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:42:03 +0300] "GET / HTTP/1.1" 200 38 0.0011
